level_0,index,duration_sec
0,0,623
2,3,554
3,4,752
4,6,301
5,7,335
6,8,657
7,9,1054
8,10,640
9,11,791
10,12,756
11,13,1037
12,14,895
13,15,991
14,16,957
15,17,1055
16,18,442
17,19,791
18,20,403
19,21,423
20,22,477
21,23,737
22,24,454
23,25,573
24,26,1013
25,27,213
26,28,1035
27,29,381
28,30,275
29,31,655
30,32,1166
31,33,860
32,34,227
33,35,1027
34,36,169
35,37,1236
36,38,235
37,39,240
38,40,200
39,41,277
40,42,226
41,43,196
42,44,220
43,45,256
44,46,274
45,47,262
46,48,205
47,49,195
48,50,188
49,51,202
50,52,280
51,53,190
52,54,193
53,55,187
54,56,224
55,57,249
56,58,193
57,59,184
58,60,231
59,61,173
60,62,244
61,63,187
62,64,219
63,65,212
64,66,219
65,67,233
66,68,201
67,69,206
68,70,760
69,71,218
70,72,200
71,73,198
72,74,158
73,75,220
74,76,203
75,77,201
76,78,187
77,79,294
78,80,238
79,81,267
80,82,226
81,83,183
82,84,160
83,85,189
84,86,212
85,87,224
86,88,347
87,89,483
88,90,307
89,91,281
90,92,295
91,93,553
92,94,1076
93,95,726
94,96,992
95,97,351
96,98,343
97,99,275
98,100,283
99,101,318
100,102,247
101,103,310
102,104,403
103,105,357
104,106,263
105,107,348
106,108,250
107,109,440
108,110,394
109,111,259
110,112,395
111,113,254
112,114,576
113,115,223
114,116,278
115,117,316
116,118,304
117,119,403
118,120,402
119,121,361
120,122,364
121,123,355
122,124,282
123,125,265
124,126,239
125,127,343
126,128,251
127,129,373
128,130,222
129,131,296
130,132,488
131,133,335
132,134,230
133,135,397
134,136,281
135,137,525
136,138,355
137,139,364
138,140,324
139,141,250
140,142,305
141,143,302
142,144,383
143,145,287
144,146,208
145,147,328
146,148,342
147,149,270
148,150,421
149,151,376
150,152,291
151,153,303
152,154,204
153,155,307
154,156,335
155,157,484
156,158,333
157,159,311
158,160,430
159,161,286
160,162,288
161,163,325
162,164,308
163,165,325
164,166,306
165,167,314
166,168,402
167,169,443
168,170,1212
169,171,692
170,172,884
171,173,1026
172,174,1033
173,175,966
174,176,1091
175,177,1246
176,178,1493
177,179,686
178,180,722
179,181,1043
180,182,503
181,183,487
182,184,585
183,185,564
184,186,1010
185,187,419
186,188,440
187,189,738
188,190,1005
189,191,592
190,192,545
191,193,553
192,194,562
193,195,766
194,196,623
195,197,388
196,198,416
197,199,1457
198,200,634
199,201,692
200,202,491
201,203,287
202,204,469
203,205,350
204,206,563
205,207,336
206,208,583
207,209,270
208,210,236
209,211,267
210,212,422
211,213,197
212,214,325
213,215,412
214,216,325
215,217,283
216,218,685
217,219,1024
218,220,1016
219,221,961
220,222,759
221,223,775
222,224,773
223,225,648
224,226,184
225,227,146
226,228,219
227,229,217
228,230,223
229,231,258
230,232,189
231,233,263
232,234,207
233,235,222
234,236,390
235,237,196
236,238,106
237,239,1501
238,240,623
239,241,1105
240,242,672
241,243,541
242,244,739
243,245,595
244,246,799
245,247,968
246,248,896
247,249,987
248,250,722
249,251,583
250,252,690
251,253,525
252,254,461
253,255,217
254,256,636
255,257,830
256,258,1530
257,259,556
258,260,966
259,261,642
260,262,941
261,263,328
262,264,375
263,265,411
264,266,598
265,267,1048
266,268,307
267,269,582
268,270,490
269,271,301
270,272,457
271,273,446
272,274,569
273,275,128
274,276,101
275,277,111
276,278,139
277,279,125
278,280,182
279,281,98
280,282,130
281,283,358
282,284,593
283,285,227
284,286,431
285,287,282
286,288,557
287,289,346
288,290,441
289,291,922
290,292,513
291,293,626
292,294,684
293,295,755
294,296,1027
295,297,292
296,298,355
297,299,342
298,300,432
299,301,455
300,302,806
301,303,514
302,304,401
303,305,702
304,306,797
305,307,1066
306,308,803
307,309,1305
308,310,788
309,311,990
310,312,821
311,313,1333
312,314,886
313,315,553
314,316,574
315,317,926
316,318,678
317,319,731
318,320,556
319,321,732
320,322,809
321,323,406
322,324,379
323,325,1038
324,326,455
325,327,497
326,328,869
327,329,696
328,330,354
329,331,511
330,332,336
331,333,780
332,334,522
333,335,488
334,336,555
335,337,283
336,338,824
337,339,321
338,340,398
339,341,990
340,342,446
341,343,362
342,344,277
343,345,270
344,346,1094
345,347,678
346,348,791
347,349,774
348,350,1014
349,351,1394
350,352,970
351,353,938
352,354,118
353,355,451
354,356,93
355,357,169
356,358,132
357,359,245
358,360,278
359,361,978
360,362,1026
361,363,962
362,364,1161
363,365,1010
364,366,1188
365,367,1027
366,368,984
367,369,962
368,370,905
369,371,1084
370,372,1076
371,373,926
372,374,1082
373,375,374
374,376,497
375,377,511
376,378,562
377,379,604
378,380,581
379,381,577
380,382,518
381,383,715
382,384,565
383,385,577
384,386,541
385,387,475
386,388,652
387,389,450
388,390,815
389,391,698
390,392,764
391,393,844
392,394,1091
393,395,222
394,396,100
395,397,225
396,398,179
397,399,161
398,400,1251
399,401,782
400,402,923
401,403,1227
402,404,654
403,405,1001
404,406,693
405,407,416
406,408,1002
407,409,238
408,410,208
409,411,334
410,412,378
411,413,328
412,414,500
413,415,657
414,416,569
415,417,415
416,418,526
417,419,442
418,420,351
419,421,472
420,422,1340
421,423,291
422,424,267
423,425,233
424,426,494
425,427,447
426,428,863
427,429,787
428,430,827
429,431,260
430,432,307
431,433,310
432,434,325
433,435,235
434,436,259
435,437,275
436,438,878
437,439,883
438,440,996
439,441,1082
440,442,936
441,443,360
442,444,496
443,445,1518
444,446,561
445,447,569
446,448,701
447,449,605
448,450,818
449,451,793
450,452,233
451,453,199
452,454,237
453,455,257
454,456,326
455,457,432
456,458,180
457,459,243
458,460,221
459,461,254
460,462,245
461,463,322
462,464,295
463,465,233
464,466,253
465,467,211
466,468,236
467,469,454
468,470,499
469,471,260
470,472,238
471,473,318
472,474,373
473,475,975
474,476,965
475,477,534
476,478,950
477,479,1100
478,480,485
479,481,523
480,482,653
481,483,872
482,484,646
483,485,895
484,486,733
485,487,695
486,488,617
487,489,647
488,490,755
489,491,733
490,492,698
491,493,667
492,494,1076
493,495,676
494,496,472
495,497,1128
496,498,746
497,499,680
498,500,429
499,501,333
500,502,661
501,503,843
502,504,787
503,505,650
504,506,769
505,507,268
506,508,244
507,509,289
508,510,254
509,511,236
510,512,218
511,513,240
512,514,254
513,515,303
514,516,789
515,517,262
516,518,445
517,519,232
518,520,295
519,521,320
520,522,341
521,523,567
522,524,569
523,525,623
524,526,666
525,527,737
526,528,713
527,529,461
528,530,911
529,531,533
530,532,464
531,533,450
532,534,448
533,535,464
534,536,321
535,537,398
536,538,488
537,539,377
538,540,587
539,541,438
540,542,482
541,543,391
542,544,384
543,545,597
544,546,508
545,547,655
546,548,413
547,549,561
548,550,397
549,551,462
550,552,419
551,553,1455
552,554,648
553,555,743
554,556,398
555,557,442
556,558,520
557,559,407
558,560,1178
559,561,1164
560,562,1086
561,563,1103
562,564,1299
563,565,268
564,566,356
565,567,428
566,568,373
567,569,458
568,570,448
569,571,531
570,572,608
571,573,438
572,574,380
573,575,351
574,576,429
575,577,380
576,578,714
577,579,605
578,580,556
579,581,579
580,582,652
581,583,677
582,584,831
583,585,1012
584,586,1011
585,587,922
586,588,834
587,589,1129
588,590,1130
589,591,1142
590,592,1281
591,593,1215
592,594,973
593,595,468
594,596,535
595,597,462
596,598,441
597,599,506
598,600,417
599,601,322
600,602,235
601,603,532
602,604,265
603,605,1553
604,606,1160
605,607,1280
606,608,375
607,609,474
608,610,846
609,611,516
610,612,822
611,613,608
612,614,488
613,615,709
614,616,480
615,617,1042
616,618,347
617,619,540
618,620,501
619,621,428
620,622,272
621,623,474
622,624,588
623,625,590
624,626,512
625,627,790
626,628,619
627,629,1107
628,630,747
629,631,875
630,632,172
631,633,491
632,634,261
633,635,180
634,636,1068
635,637,1151
636,638,183
637,639,600
638,640,329
639,641,412
640,642,498
641,643,290
642,644,561
643,645,247
644,646,342
645,647,576
646,648,340
647,649,569
648,650,489
649,651,571
650,652,899
651,653,810
652,654,439
653,655,402
654,656,387
655,657,420
656,658,518
657,659,454
658,660,864
659,661,528
660,662,731
661,663,968
662,664,475
663,665,697
664,666,1060
665,667,1266
666,668,640
667,669,1169
668,670,1067
669,671,880
670,672,953
671,673,630
672,674,465
673,675,512
674,676,385
675,677,422
676,678,391
677,679,307
678,680,391
679,681,447
680,682,382
681,683,427
682,684,430
683,685,414
684,686,401
685,687,472
686,688,254
687,689,419
688,690,521
689,691,528
690,692,345
691,693,296
692,694,284
693,695,315
694,696,1004
695,697,622
696,698,1279
697,699,720
698,700,687
699,701,799
700,702,322
701,703,322
702,704,566
703,705,1197
704,706,1021
705,707,1128
706,708,1148
707,709,847
708,710,1119
709,711,422
710,712,458
711,713,446
712,714,508
713,715,313
714,716,1196
715,717,479
716,718,954
717,719,893
718,720,856
719,721,895
720,722,868
721,723,1026
722,724,1072
723,725,446
724,726,221
725,727,388
726,728,982
727,729,254
728,730,443
729,731,448
730,732,347
731,733,409
732,734,527
733,735,593
734,736,199
735,737,151
736,738,175
737,739,354
738,740,417
739,741,416
740,742,335
741,743,493
742,744,215
743,745,252
744,746,466
745,747,338
746,748,373
747,749,347
748,750,383
749,751,645
750,752,427
751,753,325
752,754,316
753,755,359
754,756,376
755,757,338
756,758,214
757,759,521
758,760,394
759,761,361
760,762,533
761,763,743
762,764,563
763,765,960
764,766,607
765,767,660
766,768,683
767,769,731
768,770,679
769,771,127
770,772,195
771,773,201
772,774,153
773,775,219
774,776,169
775,777,150
776,778,171
777,779,153
778,780,187
779,781,141
780,782,167
781,783,211
782,784,144
783,785,775
784,786,953
785,787,912
786,788,825
787,789,892
788,790,823
789,791,664
790,792,839
791,793,806
792,794,717
793,795,884
794,796,875
795,797,802
796,798,670
797,799,1022
798,800,637
799,801,1020
800,802,604
801,803,707
802,804,714
803,805,474
804,806,673
805,807,616
806,808,562
807,809,689
808,810,162
809,811,251
810,812,139
811,813,232
812,814,574
813,815,755
814,816,790
815,817,458
816,818,222
817,819,1125
818,820,756
819,821,495
820,822,634
821,823,999
822,824,988
823,825,878
824,826,780
825,827,721
826,828,702
827,829,809
828,830,676
829,831,433
830,832,413
831,833,635
832,834,719
833,835,497
834,836,651
835,837,481
836,838,489
837,839,931
838,840,659
839,841,584
840,842,791
841,843,1388
842,844,543
843,845,500
844,846,642
845,847,105
846,848,145
847,849,117
848,850,1077
849,851,684
850,852,745
851,853,733
852,854,750
853,855,580
854,856,659
855,857,551
856,858,760
857,859,1189
858,860,680
859,861,686
860,862,690
861,863,876
862,864,979
863,865,578
864,866,645
865,867,749
866,868,635
867,869,688
868,870,556
869,871,611
870,872,548
871,873,704
872,874,602
873,875,655
874,876,672
875,877,592
876,878,616
877,879,605
878,880,574
879,881,601
880,882,704
881,883,611
882,884,600
883,885,540
884,886,883
885,887,532
886,888,597
887,889,706
888,890,840
889,891,650
890,892,593
891,893,712
892,894,600
893,895,613
894,896,590
895,897,806
896,898,914
897,899,583
898,900,867
899,901,821
900,902,649
901,903,260
902,904,941
903,905,674
904,906,368
905,907,221
906,908,294
907,909,292
908,910,622
909,911,946
910,912,540
911,913,613
912,914,666
913,915,682
914,916,618
915,917,1285
916,918,1087
917,919,1249
918,920,1082
919,921,976
920,922,765
921,923,887
922,924,1012
923,925,1274
924,926,1281
925,927,581
926,928,633
927,929,517
928,930,581
929,931,710
930,932,660
931,933,524
932,934,627
933,935,587
934,936,456
935,937,519
936,938,517
937,939,474
938,940,470
939,941,351
940,942,394
941,943,589
942,944,370
943,945,342
944,946,465
945,947,488
946,948,396
947,949,724
948,950,777
949,951,520
950,952,351
951,953,382
952,954,565
953,955,347
954,956,876
955,957,503
956,958,575
957,959,893
958,960,636
959,961,648
960,962,550
961,963,583
962,964,644
963,965,599
964,966,434
965,967,549
966,968,537
967,969,601
968,970,243
969,971,236
970,972,176
971,973,814
972,974,224
973,975,212
974,976,165
975,977,298
976,978,164
977,979,250
978,980,394
979,981,261
980,982,343
981,983,189
982,984,249
983,985,549
984,986,233
985,987,232
986,988,226
987,989,219
988,990,186
989,991,227
990,992,1429
991,993,226
992,994,235
993,995,193
994,996,221
995,997,226
996,998,260
997,999,195
998,1000,1414
999,1001,1377
1000,1002,722
1001,1003,475
1002,1004,528
1003,1005,1425
1004,1006,681
1005,1007,754
1006,1008,972
1007,1009,1122
1008,1010,975
1009,1011,1400
1010,1012,1334
1011,1013,1343
1012,1014,1332
1013,1015,473
1014,1016,442
1015,1017,501
1016,1018,531
1017,1019,742
1018,1020,684
1019,1021,597
1020,1022,629
1021,1023,1528
1022,1024,584
1023,1025,724
1024,1026,848
1025,1027,620
1026,1028,493
1027,1029,570
1028,1030,480
